user_global_idx,attenuation_db,seed_nmse_db,aug_nmse_db
728,-0.002036931313698527,-8.104487,-8.214009
7587,5.151127235178956,21.829987,26.313465
7543,8.495021985666131,25.140938,29.65382
412,35.5078288787313,24.093779,27.728184
5745,37.337218572239024,57.189144,61.709
7668,24.48120443873853,37.832123,42.332146
825,1.9899961241063066e-07,-11.398315,-13.2500305
3267,18.776072133770164,56.179005,60.694443
3974,42.315156078096706,24.85411,26.174145
8808,-1.8132668839834785e-09,1.7231054,4.3162384
8306,22.672445060139204,37.469757,41.968872
417,26.25916114478982,9.63436,11.169064
6748,36.70262066917673,87.051384,91.52264
8967,29.095951891993135,22.398384,26.665688
2082,19.65800632786973,4.5873995,3.7640598
8945,27.811180506819326,21.525194,25.839348
3373,10.465596253078473,50.953613,55.425926
5726,32.94184382731875,45.631332,50.17269
4107,21.496612252249516,46.96255,51.491837
4380,19.476532934924204,35.49641,40.047493
7723,25.88078793297499,38.90722,43.4301
1066,16.338703766501776,0.5074676,0.45521724
3913,18.387663540817048,46.436226,50.98686
5536,15.800851408368414,29.131834,33.65655
8002,14.469867781760378,31.654482,36.195496
5387,22.32035115217512,28.303677,32.786083
5732,40.623497208124,54.578415,59.150562
2738,36.677334779995746,68.73199,73.26575
5052,38.69905933775787,27.63615,31.408232
4000,22.637578724573977,49.585114,54.09871
2427,29.015297848744947,61.84603,66.337746
6833,24.05397630001866,67.01213,71.512535
1687,2.095118009187456e-06,8.926317,12.944134
851,-2.1386523841555984e-08,-11.3971615,-13.539434
6303,76.40703756741485,139.13983,143.6165
9087,5.687094184770009,2.1470764,3.7732384
5878,0.0017235826339965631,56.090477,60.58818
8527,0.00038054247282232897,3.759922,6.8291516
2839,20.83188957431519,17.916725,22.371523
4611,54.169870814018765,63.92881,68.44393
9207,23.485236983722938,10.834518,14.05026
2489,39.391966218519585,71.85235,76.36329
6905,16.541854728040907,55.26768,59.756096
7390,23.075448790423376,43.59289,48.10066
2849,9.668377384356203,7.508988,11.465081
6665,37.33506412822566,95.49661,99.968956
5881,0.0016836252855759115,56.11686,60.605663
4452,11.096660312904243,26.777678,31.283884
7421,17.521362908695405,37.756676,42.235676
6484,7.829761009183882,87.75917,92.22535
2479,31.196365576411033,63.369354,67.875946
6617,27.332820840678668,81.093735,85.58212
2141,21.09787890152679,1.3774505,0.51358736
5188,28.13702330164474,39.4264,43.96837
9584,26.34813107240232,5.936101,3.121865
2744,38.04455951529409,70.0801,74.59146
7253,0.5089696789627102,25.401667,29.899124
3506,-1.6584711103355402e-09,34.354946,38.84293
1679,0.009544107829954166,9.497619,13.634993
4249,2.5697369391285386e-09,21.237034,25.748287
3147,0.17235670617678114,-1.2237996,0.04060381
8130,17.59034150415519,31.168655,35.724243
7004,-9.534357263797515e-09,34.267548,38.799747
580,31.70593526791214,19.167803,22.640326
4070,18.78487433342706,44.779552,49.27853
3343,7.131968086480138,48.337692,52.81803
7404,15.067538625908046,35.33658,39.84368
3672,10.528190506746975,38.773113,43.295937
559,36.90239067321099,15.852663,11.758939
5237,21.583686718299692,19.431461,23.859636
7805,7.680444260860809,19.85579,24.378448
512,30.039995148830435,16.2667,4.45899
1081,20.68592156868452,2.6241267,1.840434
1664,0.0698068027097763,9.955398,14.125904
9204,20.951392179874073,10.149664,13.471275
1931,28.71842541321158,10.308102,2.2543244
9546,38.487610412561544,15.315175,13.790033
1150,0.18455231261282906,-1.3245065,-1.627891
2838,22.31000378825762,19.40527,23.842354
5949,71.52458461372716,130.32652,134.79742
8308,21.4937607201448,36.165405,40.70472
8932,27.359710048714348,21.240446,25.54453
5177,35.84662809554438,47.93217,52.433197
830,-2.0224972588037032e-07,-11.304949,-13.272438
8311,17.20513063928577,31.718678,36.227043
4752,55.71592615659039,59.074356,63.565975
9601,26.839622335424313,5.592916,4.031316
635,15.674691592862066,-0.030274596,-0.8637731
4465,10.85574430961218,24.334671,28.83024
6799,22.590198817245685,68.27972,72.77719
7987,20.720941431882732,35.134712,39.668423
7079,0.37244072334370876,31.220432,35.716583
6966,10.931574953749552,46.99373,51.482796
4142,7.0102954508591875,32.00505,36.532578
7027,6.132038778877421e-09,33.266678,37.74399
9183,25.019345536283943,12.836634,16.156258
876,-5.320278947782821e-08,-11.28132,-13.525481
4869,35.26154898499147,20.537487,23.279118
5315,18.694083430802007,20.244467,24.730549
5222,20.752265273235984,17.950596,22.372547
4,22.109386491447594,5.1223445,4.4909368
3051,24.081365498539494,12.790256,16.361961
5691,28.893961518343257,41.74131,46.273922
3124,11.122619379220941,8.9705715,13.101507
2491,28.293663131264854,60.935368,65.42601
3854,16.650010610868897,45.37495,49.90403
4777,30.944028142565777,15.849394,17.886395
7509,4.998791254412173,22.995213,27.477596
6457,6.1166206743345795,85.73432,90.20198
6293,76.96049849347524,139.33917,143.80235
1148,0.06134277295463819,-1.3482292,-1.6539569
