x y z
83.0082 51.6077 2.0000
82.9469 51.6340 2.0000
82.8857 51.6603 2.0000
82.8245 51.6868 2.0000
82.7633 51.7133 2.0000
82.7022 51.7400 2.0000
82.6411 51.7667 2.0000
82.5801 51.7935 2.0000
82.5191 51.8204 2.0000
82.4581 51.8473 2.0000
82.3972 51.8744 2.0000
82.3363 51.9015 2.0000
82.2754 51.9287 2.0000
82.2146 51.9560 2.0000
82.1538 51.9833 2.0000
82.0930 52.0108 2.0000
82.0323 52.0383 2.0000
81.9717 52.0659 2.0000
81.9110 52.0936 2.0000
81.8504 52.1214 2.0000
81.7898 52.1493 2.0000
81.7293 52.1772 2.0000
81.6688 52.2053 2.0000
81.6084 52.2334 2.0000
81.5480 52.2616 2.0000
81.4876 52.2898 2.0000
81.4273 52.3182 2.0000
81.3670 52.3466 2.0000
81.3067 52.3752 2.0000
81.2465 52.4038 2.0000
81.1863 52.4324 2.0000
81.1262 52.4612 2.0000
81.0661 52.4901 2.0000
81.0060 52.5190 2.0000
80.9460 52.5480 2.0000
80.8860 52.5771 2.0000
80.8261 52.6063 2.0000
80.7662 52.6356 2.0000
80.7063 52.6649 2.0000
80.6465 52.6943 2.0000
80.5867 52.7239 2.0000
80.5270 52.7535 2.0000
80.4673 52.7831 2.0000
80.4076 52.8129 2.0000
80.3480 52.8427 2.0000
80.2884 52.8727 2.0000
80.2289 52.9027 2.0000
80.1694 52.9328 2.0000
80.1100 52.9630 2.0000
80.0506 52.9932 2.0000
79.9912 53.0236 2.0000
79.9319 53.0540 2.0000
79.8726 53.0845 2.0000
79.8134 53.1151 2.0000
79.7542 53.1457 2.0000
79.6950 53.1765 2.0000
79.6359 53.2073 2.0000
79.5769 53.2383 2.0000
79.5179 53.2693 2.0000
79.4589 53.3003 2.0000
79.3999 53.3315 2.0000
79.3411 53.3628 2.0000
79.2822 53.3941 2.0000
79.2234 53.4255 2.0000
79.1647 53.4570 2.0000
79.1060 53.4886 2.0000
79.0473 53.5203 2.0000
78.9887 53.5520 2.0000
78.9301 53.5839 2.0000
78.8716 53.6158 2.0000
78.8131 53.6478 2.0000
78.7546 53.6798 2.0000
78.6962 53.7120 2.0000
78.6379 53.7443 2.0000
78.5796 53.7766 2.0000
78.5213 53.8090 2.0000
78.4631 53.8415 2.0000
